id,username,email,role,is_active,is_staff,date_joined,last_login
1,jaygao,forivey@hotmail.com,superadmin,True,True,2025-12-21T03:24:34.328410+00:00,2025-12-21T03:24:47.936072+00:00
2,google_mentor,google@test.com,mentor,True,False,2025-12-21T03:36:37.114940+00:00,
3,amazon_mentor,amazon@test.com,mentor,True,False,2025-12-21T04:51:16.529042+00:00,
4,meta_mentor,meta@test.com,mentor,True,False,2025-12-21T04:51:16.753005+00:00,
5,microsoft_mentor,microsoft@test.com,mentor,True,False,2025-12-21T04:51:16.934816+00:00,
6,apple_mentor,apple@test.com,mentor,True,False,2025-12-21T04:51:17.113429+00:00,
7,backend_pro,backend@test.com,mentor,True,False,2025-12-21T04:51:17.294991+00:00,
8,fullstack_lead,fullstack@test.com,mentor,True,False,2025-12-21T04:51:17.480495+00:00,
9,system_design_mentor,sys@test.com,mentor,True,False,2025-12-21T04:51:17.661151+00:00,
10,frontend_mentor,fe@test.com,mentor,True,False,2025-12-21T04:51:17.849634+00:00,
11,new_grad_helper,new1@test.com,mentor,True,False,2025-12-21T04:51:18.033543+00:00,
12,bootcamp_mentor,bootcamp@test.com,mentor,True,False,2025-12-21T04:51:18.215576+00:00,
13,data_mentor,data@test.com,mentor,True,False,2025-12-21T04:51:18.395653+00:00,
14,pm_mentor,pm@test.com,mentor,True,False,2025-12-21T04:51:18.577235+00:00,
15,test_student,student@test.com,student,True,False,2025-12-21T04:59:09.218190+00:00,
16,test_mentor,mentor@test.com,mentor,True,False,2025-12-21T04:59:09.402900+00:00,
17,test_staff,staff@test.com,staff,True,True,2025-12-21T04:59:09.580110+00:00,
18,test_admin,admin@test.com,admin,True,True,2025-12-21T04:59:09.756792+00:00,
19,seed_student_14_1,seed_student_14_1@example.com,student,True,False,2025-12-28T22:21:02.697333+00:00,
20,seed_student_14_2,seed_student_14_2@example.com,student,True,False,2025-12-28T22:21:02.705567+00:00,
21,seed_student_14_3,seed_student_14_3@example.com,student,True,False,2025-12-28T22:21:02.710274+00:00,
22,seed_student_14_4,seed_student_14_4@example.com,student,True,False,2025-12-28T22:21:02.713798+00:00,
23,seed_support_student_1,seed_support_student_1@example.com,student,True,False,2025-12-28T23:11:56.550102+00:00,
